Index,Start,Time,Type,Data,
0,1.7 ¦Ìs,1.1 ¦Ìs,RX bits,0,
1,2.8 ¦Ìs,1.075 ¦Ìs,RX bits,0,
2,1.7 ¦Ìs,1.1 ¦Ìs,TX bits,0,
3,2.8 ¦Ìs,1.075 ¦Ìs,TX bits,0,
4,3.875 ¦Ìs,1.1 ¦Ìs,RX bits,0,
5,4.975 ¦Ìs,1.075 ¦Ìs,RX bits,0,
6,3.875 ¦Ìs,1.1 ¦Ìs,TX bits,0,
7,4.975 ¦Ìs,1.075 ¦Ìs,TX bits,0,
8,6.05 ¦Ìs,1.075 ¦Ìs,RX bits,0,
9,7.125 ¦Ìs,1.1 ¦Ìs,RX bits,0,
10,6.05 ¦Ìs,1.075 ¦Ìs,TX bits,0,
11,7.125 ¦Ìs,1.1 ¦Ìs,TX bits,0,
12,8.225 ¦Ìs,1.075 ¦Ìs,RX bits,0,
13,9.3 ¦Ìs,1.1 ¦Ìs,RX bits,0,
14,8.225 ¦Ìs,1.075 ¦Ìs,TX bits,0,
15,9.3 ¦Ìs,1.1 ¦Ìs,TX bits,0,
16,1.7 ¦Ìs,8.7 ¦Ìs,RX data,00,
17,1.7 ¦Ìs,8.7 ¦Ìs,TX data,00,
18,10.4 ¦Ìs,525 ns,RX warnings,Stop bit error,
19,10.4 ¦Ìs,525 ns,TX warnings,Stop bit error,
20,14.6 ¦Ìs,1.1 ¦Ìs,RX bits,0,
21,15.7 ¦Ìs,1.075 ¦Ìs,RX bits,0,
22,14.6 ¦Ìs,1.1 ¦Ìs,TX bits,0,
23,15.7 ¦Ìs,1.075 ¦Ìs,TX bits,0,
24,16.775 ¦Ìs,1.1 ¦Ìs,RX bits,0,
25,17.875 ¦Ìs,1.075 ¦Ìs,RX bits,0,
26,16.775 ¦Ìs,1.1 ¦Ìs,TX bits,0,
27,17.875 ¦Ìs,1.075 ¦Ìs,TX bits,0,
28,18.95 ¦Ìs,1.075 ¦Ìs,RX bits,0,
29,20.025 ¦Ìs,1.1 ¦Ìs,RX bits,1,
30,18.95 ¦Ìs,1.075 ¦Ìs,TX bits,0,
31,20.025 ¦Ìs,1.1 ¦Ìs,TX bits,1,
32,21.125 ¦Ìs,1.075 ¦Ìs,RX bits,0,
33,22.2 ¦Ìs,1.1 ¦Ìs,RX bits,1,
34,21.125 ¦Ìs,1.075 ¦Ìs,TX bits,0,
35,22.2 ¦Ìs,1.1 ¦Ìs,TX bits,1,
36,14.6 ¦Ìs,8.7 ¦Ìs,RX data,A0,
37,14.6 ¦Ìs,8.7 ¦Ìs,TX data,A0,
38,23.3 ¦Ìs,525 ns,RX warnings,Stop bit error,
39,24.325 ¦Ìs,550 ns,RX warnings,Start bit error,
40,24.325 ¦Ìs,550 ns,TX warnings,Start bit error,
41,24.9 ¦Ìs,550 ns,TX warnings,Start bit error,
42,25.45 ¦Ìs,550 ns,RX warnings,Start bit error,
43,26.45 ¦Ìs,550 ns,RX warnings,Start bit error,
44,29.075 ¦Ìs,550 ns,RX warnings,Start bit error,
45,33.85 ¦Ìs,550 ns,RX warnings,Start bit error,
46,29.075 ¦Ìs,550 ns,TX warnings,Start bit error,
47,33.85 ¦Ìs,550 ns,TX warnings,Start bit error,
48,38.65 ¦Ìs,550 ns,RX warnings,Start bit error,
49,53.025 ¦Ìs,550 ns,RX warnings,Start bit error,
50,38.65 ¦Ìs,550 ns,TX warnings,Start bit error,
51,53.05 ¦Ìs,550 ns,TX warnings,Start bit error,
52,51.844975 ms,1.1 ¦Ìs,TX bits,0,
53,51.846075 ms,1.075 ¦Ìs,TX bits,0,
54,51.84715 ms,1.1 ¦Ìs,TX bits,0,
55,51.84825 ms,1.075 ¦Ìs,TX bits,0,
56,51.849325 ms,1.075 ¦Ìs,TX bits,0,
57,51.8504 ms,1.1 ¦Ìs,TX bits,0,
58,51.8515 ms,1.075 ¦Ìs,TX bits,0,
59,51.852575 ms,1.1 ¦Ìs,TX bits,0,
60,51.844975 ms,8.7 ¦Ìs,TX data,00,
61,51.853675 ms,525 ns,TX warnings,Stop bit error,
62,51.8439 ms,45.575 ¦Ìs,TX breaks,Break condition,
63,1.01338 s,1.1 ¦Ìs,RX bits,1,
64,1.013381 s,1.075 ¦Ìs,RX bits,0,
65,1.013383 s,1.1 ¦Ìs,RX bits,1,
66,1.013384 s,1.075 ¦Ìs,RX bits,0,
67,1.013385 s,1.075 ¦Ìs,RX bits,1,
68,1.013386 s,1.1 ¦Ìs,RX bits,1,
69,1.013387 s,1.075 ¦Ìs,RX bits,0,
70,1.013388 s,1.1 ¦Ìs,RX bits,1,
71,1.01338 s,8.7 ¦Ìs,RX data,B5,
72,1.013392 s,1.1 ¦Ìs,RX bits,0,
73,1.013393 s,1.075 ¦Ìs,RX bits,1,
74,1.013394 s,1.1 ¦Ìs,RX bits,0,
75,1.013395 s,1.075 ¦Ìs,RX bits,0,
76,1.013397 s,1.075 ¦Ìs,RX bits,0,
77,1.013398 s,1.1 ¦Ìs,RX bits,1,
78,1.013399 s,1.075 ¦Ìs,RX bits,1,
79,1.0134 s,1.1 ¦Ìs,RX bits,0,
80,1.013392 s,8.7 ¦Ìs,RX data,62,
81,1.013404 s,1.1 ¦Ìs,RX bits,0,
82,1.013405 s,1.075 ¦Ìs,RX bits,1,
83,1.013406 s,1.1 ¦Ìs,RX bits,0,
84,1.013407 s,1.075 ¦Ìs,RX bits,1,
85,1.013408 s,1.075 ¦Ìs,RX bits,0,
86,1.01341 s,1.1 ¦Ìs,RX bits,0,
87,1.013411 s,1.075 ¦Ìs,RX bits,0,
88,1.013412 s,1.1 ¦Ìs,RX bits,0,
89,1.013404 s,8.7 ¦Ìs,RX data,0A,
90,1.013416 s,1.1 ¦Ìs,RX bits,0,
91,1.013417 s,1.075 ¦Ìs,RX bits,0,
92,1.013418 s,1.1 ¦Ìs,RX bits,1,
93,1.013419 s,1.075 ¦Ìs,RX bits,0,
94,1.01342 s,1.075 ¦Ìs,RX bits,0,
95,1.013421 s,1.1 ¦Ìs,RX bits,0,
96,1.013423 s,1.075 ¦Ìs,RX bits,0,
97,1.013424 s,1.1 ¦Ìs,RX bits,0,
98,1.013416 s,8.7 ¦Ìs,RX data,04,
99,1.013428 s,1.1 ¦Ìs,RX bits,0,
100,1.013429 s,1.075 ¦Ìs,RX bits,0,
101,1.01343 s,1.1 ¦Ìs,RX bits,0,
102,1.013431 s,1.075 ¦Ìs,RX bits,0,
103,1.013432 s,1.075 ¦Ìs,RX bits,0,
104,1.013433 s,1.1 ¦Ìs,RX bits,0,
105,1.013434 s,1.075 ¦Ìs,RX bits,0,
106,1.013436 s,1.1 ¦Ìs,RX bits,0,
107,1.013428 s,8.7 ¦Ìs,RX data,00,
108,1.01344 s,1.1 ¦Ìs,RX bits,0,
109,1.013441 s,1.075 ¦Ìs,RX bits,0,
110,1.013442 s,1.1 ¦Ìs,RX bits,0,
111,1.013443 s,1.075 ¦Ìs,RX bits,0,
112,1.013444 s,1.075 ¦Ìs,RX bits,0,
113,1.013445 s,1.1 ¦Ìs,RX bits,0,
114,1.013446 s,1.075 ¦Ìs,RX bits,0,
115,1.013447 s,1.1 ¦Ìs,RX bits,0,
116,1.01344 s,8.7 ¦Ìs,RX data,00,
117,1.013452 s,1.1 ¦Ìs,RX bits,0,
118,1.013453 s,1.075 ¦Ìs,RX bits,1,
119,1.013454 s,1.1 ¦Ìs,RX bits,1,
120,1.013455 s,1.075 ¦Ìs,RX bits,1,
121,1.013456 s,1.075 ¦Ìs,RX bits,0,
122,1.013457 s,1.1 ¦Ìs,RX bits,0,
123,1.013458 s,1.075 ¦Ìs,RX bits,0,
124,1.013459 s,1.1 ¦Ìs,RX bits,0,
125,1.013452 s,8.7 ¦Ìs,RX data,0E,
126,1.013464 s,1.1 ¦Ìs,RX bits,0,
127,1.013465 s,1.075 ¦Ìs,RX bits,0,
128,1.013466 s,1.1 ¦Ìs,RX bits,1,
129,1.013467 s,1.075 ¦Ìs,RX bits,0,
130,1.013468 s,1.075 ¦Ìs,RX bits,1,
131,1.013469 s,1.1 ¦Ìs,RX bits,1,
132,1.01347 s,1.075 ¦Ìs,RX bits,0,
133,1.013471 s,1.1 ¦Ìs,RX bits,0,
134,1.013464 s,8.7 ¦Ìs,RX data,34,
135,1.014008 s,1.1 ¦Ìs,TX bits,1,
136,1.014009 s,1.075 ¦Ìs,TX bits,0,
137,1.01401 s,1.1 ¦Ìs,TX bits,1,
138,1.014011 s,1.075 ¦Ìs,TX bits,0,
139,1.014012 s,1.075 ¦Ìs,TX bits,1,
140,1.014013 s,1.1 ¦Ìs,TX bits,1,
141,1.014014 s,1.075 ¦Ìs,TX bits,0,
142,1.014015 s,1.1 ¦Ìs,TX bits,1,
143,1.014008 s,8.7 ¦Ìs,TX data,B5,
144,1.014018 s,1.1 ¦Ìs,TX bits,0,
145,1.014019 s,1.075 ¦Ìs,TX bits,1,
146,1.014021 s,1.1 ¦Ìs,TX bits,0,
147,1.014022 s,1.075 ¦Ìs,TX bits,0,
148,1.014023 s,1.075 ¦Ìs,TX bits,0,
149,1.014024 s,1.1 ¦Ìs,TX bits,1,
150,1.014025 s,1.075 ¦Ìs,TX bits,1,
151,1.014026 s,1.1 ¦Ìs,TX bits,0,
152,1.014018 s,8.7 ¦Ìs,TX data,62,
153,1.014029 s,1.1 ¦Ìs,TX bits,0,
154,1.01403 s,1.075 ¦Ìs,TX bits,1,
155,1.014031 s,1.1 ¦Ìs,TX bits,0,
156,1.014032 s,1.075 ¦Ìs,TX bits,1,
157,1.014034 s,1.075 ¦Ìs,TX bits,0,
158,1.014035 s,1.1 ¦Ìs,TX bits,0,
159,1.014036 s,1.075 ¦Ìs,TX bits,0,
160,1.014037 s,1.1 ¦Ìs,TX bits,0,
161,1.014029 s,8.7 ¦Ìs,TX data,0A,
162,1.01404 s,1.1 ¦Ìs,TX bits,0,
163,1.014041 s,1.075 ¦Ìs,TX bits,0,
164,1.014042 s,1.1 ¦Ìs,TX bits,1,
165,1.014043 s,1.075 ¦Ìs,TX bits,0,
166,1.014044 s,1.075 ¦Ìs,TX bits,0,
167,1.014045 s,1.1 ¦Ìs,TX bits,0,
168,1.014047 s,1.075 ¦Ìs,TX bits,0,
169,1.014048 s,1.1 ¦Ìs,TX bits,0,
170,1.01404 s,8.7 ¦Ìs,TX data,04,
171,1.014051 s,1.1 ¦Ìs,TX bits,0,
172,1.014052 s,1.075 ¦Ìs,TX bits,0,
173,1.014053 s,1.1 ¦Ìs,TX bits,0,
174,1.014054 s,1.075 ¦Ìs,TX bits,0,
175,1.014055 s,1.075 ¦Ìs,TX bits,0,
176,1.014056 s,1.1 ¦Ìs,TX bits,1,
177,1.014057 s,1.075 ¦Ìs,TX bits,0,
178,1.014058 s,1.1 ¦Ìs,TX bits,1,
179,1.014051 s,8.7 ¦Ìs,TX data,A0,
180,1.014062 s,1.1 ¦Ìs,TX bits,0,
181,1.014063 s,1.075 ¦Ìs,TX bits,0,
182,1.014064 s,1.1 ¦Ìs,TX bits,0,
183,1.014065 s,1.075 ¦Ìs,TX bits,0,
184,1.014066 s,1.075 ¦Ìs,TX bits,0,
185,1.014067 s,1.1 ¦Ìs,TX bits,0,
186,1.014068 s,1.075 ¦Ìs,TX bits,0,
187,1.014069 s,1.1 ¦Ìs,TX bits,0,
188,1.014062 s,8.7 ¦Ìs,TX data,00,
189,1.014073 s,1.1 ¦Ìs,TX bits,0,
190,1.014074 s,1.075 ¦Ìs,TX bits,1,
191,1.014075 s,1.1 ¦Ìs,TX bits,0,
192,1.014076 s,1.075 ¦Ìs,TX bits,0,
193,1.014077 s,1.075 ¦Ìs,TX bits,1,
194,1.014078 s,1.1 ¦Ìs,TX bits,0,
195,1.014079 s,1.075 ¦Ìs,TX bits,1,
196,1.01408 s,1.1 ¦Ìs,TX bits,0,
197,1.014073 s,8.7 ¦Ìs,TX data,52,
198,1.014083 s,1.1 ¦Ìs,TX bits,1,
199,1.014084 s,1.075 ¦Ìs,TX bits,1,
200,1.014086 s,1.1 ¦Ìs,TX bits,1,
201,1.014087 s,1.075 ¦Ìs,TX bits,1,
202,1.014088 s,1.075 ¦Ìs,TX bits,0,
203,1.014089 s,1.1 ¦Ìs,TX bits,0,
204,1.01409 s,1.075 ¦Ìs,TX bits,1,
205,1.014091 s,1.1 ¦Ìs,TX bits,0,
206,1.014083 s,8.7 ¦Ìs,TX data,4F,
207,1.014094 s,1.1 ¦Ìs,TX bits,1,
208,1.014095 s,1.075 ¦Ìs,TX bits,0,
209,1.014096 s,1.1 ¦Ìs,TX bits,1,
210,1.014097 s,1.075 ¦Ìs,TX bits,1,
211,1.014099 s,1.075 ¦Ìs,TX bits,0,
212,1.0141 s,1.1 ¦Ìs,TX bits,0,
213,1.014101 s,1.075 ¦Ìs,TX bits,1,
214,1.014102 s,1.1 ¦Ìs,TX bits,0,
215,1.014094 s,8.7 ¦Ìs,TX data,4D,
216,1.014105 s,1.1 ¦Ìs,TX bits,0,
217,1.014106 s,1.075 ¦Ìs,TX bits,0,
218,1.014107 s,1.1 ¦Ìs,TX bits,0,
219,1.014108 s,1.075 ¦Ìs,TX bits,0,
220,1.014109 s,1.075 ¦Ìs,TX bits,0,
221,1.01411 s,1.1 ¦Ìs,TX bits,1,
222,1.014112 s,1.075 ¦Ìs,TX bits,0,
223,1.014113 s,1.1 ¦Ìs,TX bits,0,
224,1.014105 s,8.7 ¦Ìs,TX data,20,
225,1.014116 s,1.1 ¦Ìs,TX bits,1,
226,1.014117 s,1.075 ¦Ìs,TX bits,1,
227,1.014118 s,1.1 ¦Ìs,TX bits,0,
228,1.014119 s,1.075 ¦Ìs,TX bits,0,
229,1.01412 s,1.075 ¦Ìs,TX bits,1,
230,1.014121 s,1.1 ¦Ìs,TX bits,0,
231,1.014122 s,1.075 ¦Ìs,TX bits,1,
232,1.014123 s,1.1 ¦Ìs,TX bits,0,
233,1.014116 s,8.7 ¦Ìs,TX data,53,
234,1.014127 s,1.1 ¦Ìs,TX bits,0,
235,1.014128 s,1.075 ¦Ìs,TX bits,0,
236,1.014129 s,1.1 ¦Ìs,TX bits,0,
237,1.01413 s,1.075 ¦Ìs,TX bits,0,
238,1.014131 s,1.075 ¦Ìs,TX bits,1,
239,1.014132 s,1.1 ¦Ìs,TX bits,0,
240,1.014133 s,1.075 ¦Ìs,TX bits,1,
241,1.014134 s,1.1 ¦Ìs,TX bits,0,
242,1.014127 s,8.7 ¦Ìs,TX data,50,
243,1.014138 s,1.1 ¦Ìs,TX bits,1,
244,1.014139 s,1.075 ¦Ìs,TX bits,1,
245,1.01414 s,1.1 ¦Ìs,TX bits,1,
246,1.014141 s,1.075 ¦Ìs,TX bits,0,
247,1.014142 s,1.075 ¦Ìs,TX bits,0,
248,1.014143 s,1.1 ¦Ìs,TX bits,0,
249,1.014144 s,1.075 ¦Ìs,TX bits,1,
250,1.014145 s,1.1 ¦Ìs,TX bits,0,
251,1.014138 s,8.7 ¦Ìs,TX data,47,
252,1.014148 s,1.1 ¦Ìs,TX bits,0,
253,1.014149 s,1.075 ¦Ìs,TX bits,0,
254,1.014151 s,1.1 ¦Ìs,TX bits,0,
255,1.014152 s,1.075 ¦Ìs,TX bits,0,
256,1.014153 s,1.075 ¦Ìs,TX bits,0,
257,1.014154 s,1.1 ¦Ìs,TX bits,1,
258,1.014155 s,1.075 ¦Ìs,TX bits,0,
259,1.014156 s,1.1 ¦Ìs,TX bits,0,
260,1.014148 s,8.7 ¦Ìs,TX data,20,
261,1.014159 s,1.1 ¦Ìs,TX bits,1,
262,1.01416 s,1.075 ¦Ìs,TX bits,0,
263,1.014161 s,1.1 ¦Ìs,TX bits,1,
264,1.014162 s,1.075 ¦Ìs,TX bits,0,
265,1.014164 s,1.075 ¦Ìs,TX bits,1,
266,1.014165 s,1.1 ¦Ìs,TX bits,1,
267,1.014166 s,1.075 ¦Ìs,TX bits,0,
268,1.014167 s,1.1 ¦Ìs,TX bits,0,
269,1.014159 s,8.7 ¦Ìs,TX data,35,
270,1.01417 s,1.1 ¦Ìs,TX bits,0,
271,1.014171 s,1.075 ¦Ìs,TX bits,1,
272,1.014172 s,1.1 ¦Ìs,TX bits,1,
273,1.014173 s,1.075 ¦Ìs,TX bits,1,
274,1.014174 s,1.075 ¦Ìs,TX bits,0,
275,1.014175 s,1.1 ¦Ìs,TX bits,1,
276,1.014177 s,1.075 ¦Ìs,TX bits,0,
277,1.014178 s,1.1 ¦Ìs,TX bits,0,
278,1.01417 s,8.7 ¦Ìs,TX data,2E,
279,1.014181 s,1.1 ¦Ìs,TX bits,1,
280,1.014182 s,1.075 ¦Ìs,TX bits,0,
281,1.014183 s,1.1 ¦Ìs,TX bits,0,
282,1.014184 s,1.075 ¦Ìs,TX bits,0,
283,1.014185 s,1.075 ¦Ìs,TX bits,1,
284,1.014186 s,1.1 ¦Ìs,TX bits,1,
285,1.014187 s,1.075 ¦Ìs,TX bits,0,
286,1.014188 s,1.1 ¦Ìs,TX bits,0,
287,1.014181 s,8.7 ¦Ìs,TX data,31,
288,1.014192 s,1.1 ¦Ìs,TX bits,0,
289,1.014193 s,1.075 ¦Ìs,TX bits,0,
290,1.014194 s,1.1 ¦Ìs,TX bits,0,
291,1.014195 s,1.075 ¦Ìs,TX bits,0,
292,1.014196 s,1.075 ¦Ìs,TX bits,1,
293,1.014197 s,1.1 ¦Ìs,TX bits,1,
294,1.014198 s,1.075 ¦Ìs,TX bits,0,
295,1.014199 s,1.1 ¦Ìs,TX bits,0,
296,1.014192 s,8.7 ¦Ìs,TX data,30,
297,1.014203 s,1.1 ¦Ìs,TX bits,0,
298,1.014204 s,1.075 ¦Ìs,TX bits,0,
299,1.014205 s,1.1 ¦Ìs,TX bits,0,
300,1.014206 s,1.075 ¦Ìs,TX bits,0,
301,1.014207 s,1.075 ¦Ìs,TX bits,0,
302,1.014208 s,1.1 ¦Ìs,TX bits,1,
303,1.014209 s,1.075 ¦Ìs,TX bits,0,
304,1.01421 s,1.1 ¦Ìs,TX bits,0,
305,1.014203 s,8.7 ¦Ìs,TX data,20,
306,1.014213 s,1.1 ¦Ìs,TX bits,0,
307,1.014214 s,1.075 ¦Ìs,TX bits,0,
308,1.014216 s,1.1 ¦Ìs,TX bits,0,
309,1.014217 s,1.075 ¦Ìs,TX bits,1,
310,1.014218 s,1.075 ¦Ìs,TX bits,0,
311,1.014219 s,1.1 ¦Ìs,TX bits,1,
312,1.01422 s,1.075 ¦Ìs,TX bits,0,
313,1.014221 s,1.1 ¦Ìs,TX bits,0,
314,1.014213 s,8.7 ¦Ìs,TX data,28,
315,1.014224 s,1.1 ¦Ìs,TX bits,1,
316,1.014225 s,1.075 ¦Ìs,TX bits,1,
317,1.014226 s,1.1 ¦Ìs,TX bits,1,
318,1.014227 s,1.075 ¦Ìs,TX bits,0,
319,1.014229 s,1.075 ¦Ìs,TX bits,1,
320,1.01423 s,1.1 ¦Ìs,TX bits,1,
321,1.014231 s,1.075 ¦Ìs,TX bits,0,
322,1.014232 s,1.1 ¦Ìs,TX bits,0,
323,1.014224 s,8.7 ¦Ìs,TX data,37,
324,1.014235 s,1.1 ¦Ìs,TX bits,0,
325,1.014236 s,1.075 ¦Ìs,TX bits,1,
326,1.014237 s,1.1 ¦Ìs,TX bits,0,
327,1.014238 s,1.075 ¦Ìs,TX bits,0,
328,1.014239 s,1.075 ¦Ìs,TX bits,0,
329,1.01424 s,1.1 ¦Ìs,TX bits,1,
330,1.014242 s,1.075 ¦Ìs,TX bits,1,
331,1.014243 s,1.1 ¦Ìs,TX bits,0,
332,1.014235 s,8.7 ¦Ìs,TX data,62,
333,1.014246 s,1.1 ¦Ìs,TX bits,0,
334,1.014247 s,1.075 ¦Ìs,TX bits,1,
335,1.014248 s,1.1 ¦Ìs,TX bits,0,
336,1.014249 s,1.075 ¦Ìs,TX bits,0,
337,1.01425 s,1.075 ¦Ìs,TX bits,1,
338,1.014251 s,1.1 ¦Ìs,TX bits,1,
339,1.014252 s,1.075 ¦Ìs,TX bits,0,
340,1.014253 s,1.1 ¦Ìs,TX bits,0,
341,1.014246 s,8.7 ¦Ìs,TX data,32,
342,1.014257 s,1.1 ¦Ìs,TX bits,0,
343,1.014258 s,1.075 ¦Ìs,TX bits,0,
344,1.014259 s,1.1 ¦Ìs,TX bits,0,
345,1.01426 s,1.075 ¦Ìs,TX bits,0,
346,1.014261 s,1.075 ¦Ìs,TX bits,1,
347,1.014262 s,1.1 ¦Ìs,TX bits,1,
348,1.014263 s,1.075 ¦Ìs,TX bits,0,
349,1.014264 s,1.1 ¦Ìs,TX bits,0,
350,1.014257 s,8.7 ¦Ìs,TX data,30,
351,1.014268 s,1.1 ¦Ìs,TX bits,0,
352,1.014269 s,1.075 ¦Ìs,TX bits,1,
353,1.01427 s,1.1 ¦Ìs,TX bits,0,
354,1.014271 s,1.075 ¦Ìs,TX bits,0,
355,1.014272 s,1.075 ¦Ìs,TX bits,1,
356,1.014273 s,1.1 ¦Ìs,TX bits,1,
357,1.014274 s,1.075 ¦Ìs,TX bits,0,
358,1.014275 s,1.1 ¦Ìs,TX bits,0,
359,1.014268 s,8.7 ¦Ìs,TX data,32,
360,1.014278 s,1.1 ¦Ìs,TX bits,1,
361,1.014279 s,1.075 ¦Ìs,TX bits,0,
362,1.014281 s,1.1 ¦Ìs,TX bits,1,
363,1.014282 s,1.075 ¦Ìs,TX bits,0,
364,1.014283 s,1.075 ¦Ìs,TX bits,0,
365,1.014284 s,1.1 ¦Ìs,TX bits,1,
366,1.014285 s,1.075 ¦Ìs,TX bits,1,
367,1.014286 s,1.1 ¦Ìs,TX bits,0,
368,1.014278 s,8.7 ¦Ìs,TX data,65,
369,1.014289 s,1.1 ¦Ìs,TX bits,1,
370,1.01429 s,1.075 ¦Ìs,TX bits,0,
371,1.014291 s,1.1 ¦Ìs,TX bits,0,
372,1.014292 s,1.075 ¦Ìs,TX bits,1,
373,1.014294 s,1.075 ¦Ìs,TX bits,0,
374,1.014295 s,1.1 ¦Ìs,TX bits,1,
375,1.014296 s,1.075 ¦Ìs,TX bits,0,
376,1.014297 s,1.1 ¦Ìs,TX bits,0,
377,1.014289 s,8.7 ¦Ìs,TX data,29,
378,1.0143 s,1.1 ¦Ìs,TX bits,0,
379,1.014301 s,1.075 ¦Ìs,TX bits,0,
380,1.014302 s,1.1 ¦Ìs,TX bits,0,
381,1.014303 s,1.075 ¦Ìs,TX bits,0,
382,1.014304 s,1.075 ¦Ìs,TX bits,0,
383,1.014305 s,1.1 ¦Ìs,TX bits,0,
384,1.014307 s,1.075 ¦Ìs,TX bits,0,
385,1.014308 s,1.1 ¦Ìs,TX bits,0,
386,1.0143 s,8.7 ¦Ìs,TX data,00,
387,1.014311 s,1.1 ¦Ìs,TX bits,0,
388,1.014312 s,1.075 ¦Ìs,TX bits,0,
389,1.014313 s,1.1 ¦Ìs,TX bits,0,
390,1.014314 s,1.075 ¦Ìs,TX bits,0,
391,1.014315 s,1.075 ¦Ìs,TX bits,0,
392,1.014316 s,1.1 ¦Ìs,TX bits,0,
393,1.014317 s,1.075 ¦Ìs,TX bits,0,
394,1.014318 s,1.1 ¦Ìs,TX bits,0,
395,1.014311 s,8.7 ¦Ìs,TX data,00,
396,1.014322 s,1.1 ¦Ìs,TX bits,0,
397,1.014323 s,1.075 ¦Ìs,TX bits,0,
398,1.014324 s,1.1 ¦Ìs,TX bits,0,
399,1.014325 s,1.075 ¦Ìs,TX bits,0,
400,1.014326 s,1.075 ¦Ìs,TX bits,0,
401,1.014327 s,1.1 ¦Ìs,TX bits,0,
402,1.014328 s,1.075 ¦Ìs,TX bits,0,
403,1.014329 s,1.1 ¦Ìs,TX bits,0,
404,1.014322 s,8.7 ¦Ìs,TX data,00,
405,1.014333 s,1.1 ¦Ìs,TX bits,0,
406,1.014334 s,1.075 ¦Ìs,TX bits,0,
407,1.014335 s,1.1 ¦Ìs,TX bits,0,
408,1.014336 s,1.075 ¦Ìs,TX bits,0,
409,1.014337 s,1.075 ¦Ìs,TX bits,0,
410,1.014338 s,1.1 ¦Ìs,TX bits,0,
411,1.014339 s,1.075 ¦Ìs,TX bits,0,
412,1.01434 s,1.1 ¦Ìs,TX bits,0,
413,1.014333 s,8.7 ¦Ìs,TX data,00,
414,1.014343 s,1.1 ¦Ìs,TX bits,0,
415,1.014344 s,1.075 ¦Ìs,TX bits,0,
416,1.014346 s,1.1 ¦Ìs,TX bits,0,
417,1.014347 s,1.075 ¦Ìs,TX bits,0,
418,1.014348 s,1.075 ¦Ìs,TX bits,0,
419,1.014349 s,1.1 ¦Ìs,TX bits,0,
420,1.01435 s,1.075 ¦Ìs,TX bits,0,
421,1.014351 s,1.1 ¦Ìs,TX bits,0,
422,1.014343 s,8.7 ¦Ìs,TX data,00,
423,1.014354 s,1.1 ¦Ìs,TX bits,0,
424,1.014355 s,1.075 ¦Ìs,TX bits,0,
425,1.014356 s,1.1 ¦Ìs,TX bits,0,
426,1.014357 s,1.075 ¦Ìs,TX bits,0,
427,1.014359 s,1.075 ¦Ìs,TX bits,0,
428,1.01436 s,1.1 ¦Ìs,TX bits,0,
429,1.014361 s,1.075 ¦Ìs,TX bits,0,
430,1.014362 s,1.1 ¦Ìs,TX bits,0,
431,1.014354 s,8.7 ¦Ìs,TX data,00,
432,1.014365 s,1.1 ¦Ìs,TX bits,0,
433,1.014366 s,1.075 ¦Ìs,TX bits,0,
434,1.014367 s,1.1 ¦Ìs,TX bits,0,
435,1.014368 s,1.075 ¦Ìs,TX bits,0,
436,1.014369 s,1.075 ¦Ìs,TX bits,0,
437,1.01437 s,1.1 ¦Ìs,TX bits,0,
438,1.014372 s,1.075 ¦Ìs,TX bits,0,
439,1.014373 s,1.1 ¦Ìs,TX bits,0,
440,1.014365 s,8.7 ¦Ìs,TX data,00,
441,1.014376 s,1.1 ¦Ìs,TX bits,0,
442,1.014377 s,1.075 ¦Ìs,TX bits,0,
443,1.014378 s,1.1 ¦Ìs,TX bits,0,
444,1.014379 s,1.075 ¦Ìs,TX bits,0,
445,1.01438 s,1.075 ¦Ìs,TX bits,0,
446,1.014381 s,1.1 ¦Ìs,TX bits,0,
447,1.014382 s,1.075 ¦Ìs,TX bits,0,
448,1.014383 s,1.1 ¦Ìs,TX bits,0,
449,1.014376 s,8.7 ¦Ìs,TX data,00,
450,1.014387 s,1.1 ¦Ìs,TX bits,0,
451,1.014388 s,1.075 ¦Ìs,TX bits,0,
452,1.014389 s,1.1 ¦Ìs,TX bits,0,
453,1.01439 s,1.075 ¦Ìs,TX bits,0,
454,1.014391 s,1.075 ¦Ìs,TX bits,0,
455,1.014392 s,1.1 ¦Ìs,TX bits,0,
456,1.014393 s,1.075 ¦Ìs,TX bits,0,
457,1.014394 s,1.1 ¦Ìs,TX bits,0,
458,1.014387 s,8.7 ¦Ìs,TX data,00,
459,1.014398 s,1.1 ¦Ìs,TX bits,0,
460,1.014399 s,1.075 ¦Ìs,TX bits,0,
461,1.0144 s,1.1 ¦Ìs,TX bits,0,
462,1.014401 s,1.075 ¦Ìs,TX bits,0,
463,1.014402 s,1.075 ¦Ìs,TX bits,1,
464,1.014403 s,1.1 ¦Ìs,TX bits,1,
465,1.014404 s,1.075 ¦Ìs,TX bits,0,
466,1.014405 s,1.1 ¦Ìs,TX bits,0,
467,1.014398 s,8.7 ¦Ìs,TX data,30,
468,1.014408 s,1.1 ¦Ìs,TX bits,0,
469,1.014409 s,1.075 ¦Ìs,TX bits,0,
470,1.014411 s,1.1 ¦Ìs,TX bits,0,
471,1.014412 s,1.075 ¦Ìs,TX bits,0,
472,1.014413 s,1.075 ¦Ìs,TX bits,1,
473,1.014414 s,1.1 ¦Ìs,TX bits,1,
474,1.014415 s,1.075 ¦Ìs,TX bits,0,
